movie_name,month,year,critic_vote_metacritic,meta_score_metacritic,critic_vote_rotten,meta_score_rotten,critic_vote,meta_score
Happy Feet,11,2006,30,77,170,76,200,76.15
Happy Feet Two,11,2011,25,50,120,46,145,46.69
Hard Candy,4,2006,,,,,0,0
Hardball,9,2001,,,115,41,115,41.00
Hardcore Henry,4,2016,,,,,0,0
Harold & Kumar Escape from Guantanamo Bay,4,2008,27,57,,,27,57.00
Harold & Kumar Go to White Castle,7,2004,29,64,150,75,179,73.22
Harriet,11,2019,41,66,234,74,275,72.81
Harry Brown,4,2010,42,65,,,42,65.00
Harry Potter and the Chamber of Secrets,11,2002,35,63,237,82,272,79.56
Harry Potter and the Goblet of Fire,11,2005,38,81,256,88,294,87.10
Harry Potter and the Half-Blood Prince,7,2009,36,78,280,84,316,83.32
Harry Potter and the Order of the Phoenix,7,2007,37,71,256,78,293,77.12
Harry Potter and the Prisoner of Azkaban,6,2004,40,82,260,90,300,88.93
Harry Potter and the Sorcerer's Stone,11,2001,37,65,201,81,238,78.51
Hart's War,2,2002,32,49,122,60,154,57.71
Haunted Mansion,7,2023,52,47,254,37,306,38.70
Haywire,1,2012,,,,,0,0
He's Just Not That Into You,2,2009,32,47,169,41,201,41.96
Head Over Heels,2,2001,25,27,89,10,114,13.73
Head of State,3,2003,32,44,120,30,152,32.95
Heartbreakers,3,2001,32,47,125,54,157,52.57
Hearts in Atlantis,9,2001,30,55,137,49,167,50.08
Heaven Is for Real,4,2014,27,47,88,51,115,50.06
Heist,11,2001,33,66,131,67,164,66.80
Hell Fest,9,2018,11,26,66,39,77,37.14
Hell or High Water,8,2016,47,88,290,97,337,95.74
Hellboy,4,2004,37,72,204,81,241,79.62
Hellboy II: The Golden Army,7,2008,36,78,249,86,285,84.99
Her,12,2013,47,91,293,95,340,94.45
Hercules,7,2014,25,47,122,58,147,56.13
Here Comes the Boom,10,2012,26,40,98,42,124,41.58
Here on Earth,3,2000,24,25,69,17,93,19.06
Hereafter,10,2010,42,56,235,47,277,48.36
Hereditary,6,2018,49,87,383,90,432,89.66
Hesher,5,2011,,,,,0,0
Hey Arnold! The Movie,6,2002,23,47,78,29,101,33.10
Hidalgo,3,2004,36,54,165,46,201,47.43
Hidden Figures,12,2016,47,74,325,93,372,90.60
High Crimes,4,2002,33,48,132,30,165,33.60
High Fidelity,3,2000,35,79,165,91,200,88.90
High Heels and Low Lifes,10,2001,7,39,30,20,37,23.59
High School Musical 3: Senior Year,10,2008,26,57,132,64,158,62.85
High Tension,6,2005,,,,,0,0
Higher Ground,8,2011,34,74,92,82,126,79.84
Highlander: Endgame,9,2000,16,21,53,11,69,13.32
His Only Son,3,2023,,,12,83,12,83.00
Hit and Run,8,2012,31,50,,,31,50.00
Hitch,2,2005,36,58,188,69,224,67.23
Hitman,11,2007,22,35,105,16,127,19.29
Hitman: Agent 47,8,2015,27,28,131,8,158,11.42
Holes,4,2003,29,71,140,78,169,76.80
Hollow Man,8,2000,35,24,119,26,154,25.55
Hollywood Ending,5,2002,37,46,133,47,170,46.78
Hollywood Homicide,6,2003,36,47,163,30,199,33.08
Holmes & Watson,12,2018,23,24,81,10,104,13.10
Home,3,2015,31,55,,,31,55.00
Home Again,9,2017,29,41,139,32,168,33.55
Home on the Range,4,2004,30,50,129,52,159,51.62
Homefront,11,2013,35,40,116,42,151,41.54
Honey,12,2003,30,37,117,21,147,24.27
Hoot,5,2006,26,46,99,26,125,30.16
Hop,4,2011,23,41,140,24,163,26.40
Hope Springs,8,2012,39,65,173,75,212,73.16
Horrible Bosses,7,2011,40,57,224,69,264,67.18
Horrible Bosses 2,11,2014,36,40,159,35,195,35.92
Hostage,3,2005,33,44,,,33,44.00
Hostel,1,2006,,,,,0,0
Hostel: Part II,6,2007,21,46,,,21,46.00
Hostiles,12,2017,41,65,228,70,269,69.24
Hot Fuzz,4,2007,37,81,205,91,242,89.47
Hot Pursuit,5,2015,36,31,177,8,213,11.89
Hot Rod,8,2007,27,43,119,39,146,39.74
Hot Tub Time Machine,3,2010,36,63,213,64,249,63.86
Hot Tub Time Machine 2,2,2015,31,29,108,14,139,17.35
Hotel Artemis,6,2018,36,58,182,57,218,57.17
Hotel Mumbai,3,2019,,,,,0,0
Hotel Rwanda,12,2004,40,79,192,91,232,88.93
Hotel Transylvania,9,2012,32,47,144,44,176,44.55
Hotel Transylvania 2,9,2015,24,44,109,57,133,54.65
Hotel Transylvania 3: Summer Vacation,7,2018,23,54,120,62,143,60.71
Hotel for Dogs,1,2009,25,51,124,46,149,46.84
House at the End of the Street,9,2012,19,31,69,12,88,16.10
House of 1000 Corpses,4,2003,15,31,87,22,102,23.32
House of Flying Daggers,12,2004,37,89,172,87,209,87.35
House of Sand and Fog,12,2003,41,71,183,74,224,73.45
House of Wax,5,2005,36,41,163,28,199,30.35
House of the Dead,10,2003,,,61,3,61,3.00
How Do You Know,12,2010,38,46,150,31,188,34.03
How High,12,2001,21,29,59,25,80,26.05
How She Move,1,2008,,,,,0,0
How the Grinch Stole Christmas,11,2000,29,46,144,49,173,48.50
How to Be Single,2,2016,32,51,156,46,188,46.85
How to Be a Latin Lover,4,2017,11,54,31,39,42,42.93
How to Deal,7,2003,29,45,98,27,127,31.11
How to Lose Friends & Alienate People,10,2008,25,35,114,37,139,36.64
How to Lose a Guy in 10 Days,2,2003,31,45,150,42,181,42.51
How to Train Your Dragon,3,2010,37,75,214,99,251,95.46
How to Train Your Dragon 2,6,2014,48,77,186,92,234,88.92
How to Train Your Dragon: The Hidden World,2,2019,42,71,272,90,314,87.46
Huevos: Little Rooster's Egg-cellent Adventure,9,2015,6,4,17,65,23,49.09
Hugo,11,2011,41,83,236,93,277,91.52
Hulk,6,2003,40,54,239,63,279,61.71
Hunt for the Wilderpeople,6,2016,30,81,210,97,240,95.00
Hunter Killer,10,2018,28,43,117,38,145,38.97
Hustle & Flow,7,2005,37,68,,,37,68.00
Hustlers,9,2019,44,79,358,87,402,86.12
I Am Legend,12,2007,37,65,216,68,253,67.56
I Am Not Your Negro,2,2017,20,80,,,20,80.00
I Am Number Four,2,2011,30,36,169,33,199,33.45
I Am Sam,12,2001,33,28,146,36,179,34.53
I Can Only Imagine,3,2018,8,30,33,67,41,59.78
I Capture the Castle,7,2003,29,63,85,78,114,74.18
I Don't Know How She Does It,9,2011,31,38,114,17,145,21.49
I Dreamed of Africa,5,2000,30,33,102,10,132,15.23
I Feel Pretty,4,2018,45,48,231,35,276,37.12
I Frankenstein,1,2014,20,30,,,20,30.00
I Heart Huckabees,10,2004,40,55,193,64,233,62.45
I Love You Beth Cooper,7,2009,30,32,,,30,32.00
I Love You Phillip Morris,12,2010,18,55,,,18,55.00
"I Love You, Beth Cooper",7,2009,30,32,120,13,150,16.80
"I Love You, Man",3,2009,34,70,207,83,241,81.17
I Now Pronounce You Chuck & Larry,7,2007,33,37,,,33,37.00
I Robot,7,2004,38,59,,,38,59.00
I Spit on Your Grave,10,2010,14,27,61,31,75,30.25
I Spy,11,2002,29,66,134,15,163,24.07
I Think I Love My Wife,3,2007,30,49,116,19,146,25.16
"I, Frankenstein",6,2014,20,30,105,5,125,9.00
"I, Robot",7,2004,38,59,224,57,262,57.29
Ice Age,3,2002,34,61,168,77,202,74.31
Ice Age: Collision Course,7,2016,27,34,121,18,148,20.92
Ice Age: Continental Drift,7,2012,29,49,135,37,164,39.12
Ice Age: Dawn of the Dinosaurs,7,2009,25,50,165,46,190,46.53
Ice Age: The Meltdown,3,2006,31,59,146,56,177,56.53
Ice Princess,3,2005,27,55,109,52,136,52.60
Ida,5,2014,,,,,0,0
Identity,4,2003,34,64,171,63,205,63.17
Identity Thief,2,2013,41,35,175,19,216,22.04
Idlewild,8,2006,31,55,130,47,161,48.54
If Beale Street Could Talk,12,2018,53,87,366,95,419,93.99
If I Stay,8,2014,36,46,140,36,176,38.05
Igby Goes Down,9,2002,30,72,135,75,165,74.45
Igor,9,2008,19,40,93,40,112,40.00
Imaginary,3,2024,21,34,101,24,122,25.72
Imagine That,6,2009,23,54,120,41,143,43.09
Immortals,11,2011,23,46,138,49,161,48.57
Impostor,1,2002,,,,,0,0
In Bruges,2,2008,34,67,213,85,247,82.52
In Good Company,12,2004,40,66,171,82,211,78.97
In Time,10,2011,21,82,177,37,198,41.77
In a Better World,4,2011,,,,,0,0
In the Bedroom,11,2001,31,86,141,93,172,91.74
In the Cut,10,2003,,,178,34,178,34.00
In the Heart of the Sea,12,2015,47,47,239,43,286,43.66
In the Land of Women,4,2007,29,47,117,44,146,44.60
In the Name of the King: A Dungeon Siege Tale,1,2008,40,65,,,40,65.00
In the Valley of Elah,9,2007,37,65,163,74,200,72.33
Incendies,4,2011,,,,,0,0
Inception,7,2010,42,74,374,87,416,85.69
Incredibles 2,6,2018,51,80,386,93,437,91.48
Independence Day: Resurgence,6,2016,40,32,232,29,272,29.44
Indiana Jones and the Dial of Destiny,6,2023,65,58,420,70,485,68.39
Indiana Jones and the Kingdom of the Crystal Skull,5,2008,40,65,309,77,349,75.62
Inferno,10,2016,47,42,251,23,298,26.00
Inglourious Basterds,8,2009,36,69,337,89,373,87.07
Inherent Vice,12,2014,43,81,256,74,299,75.01
Inkheart,1,2009,,,,,0,0
Inside Deep Throat,2,2005,38,64,121,83,159,78.46
Inside Job,10,2010,27,88,149,98,176,96.47
Inside Llewyn Davis,12,2013,53,93,292,92,345,92.15
Inside Man,3,2006,39,76,210,86,249,84.43
Inside Out,6,2015,55,94,382,98,437,97.50
Insidious,4,2011,,,,,0,0
Insidious: Chapter 2,9,2013,30,40,132,39,162,39.19
Insidious: Chapter 3,6,2015,26,52,128,56,154,55.32
Insidious: The Last Key,1,2018,23,49,112,33,135,35.73
Insidious: The Red Door,7,2023,23,45,116,38,139,39.16
Insomnia,5,2002,37,78,205,92,242,89.86
Instant Family,11,2018,28,57,156,82,184,78.20
Intermission,3,2004,,,,,0,0
Interstellar,11,2014,46,74,378,73,424,73.11
Into the Blue,9,2005,28,45,125,21,153,25.39
Into the Storm,8,2014,32,44,159,21,191,24.85
Into the Wild,9,2007,38,73,202,83,240,81.42
Into the Woods,12,2014,41,69,225,71,266,70.69
Intolerable Cruelty,10,2003,40,71,188,76,228,75.12
Invictus,12,2009,34,74,245,76,279,75.76
Invincible,8,2006,28,63,139,72,167,70.49
Iris,12,2001,30,76,112,79,142,78.37
Iron Man,5,2008,38,79,282,94,320,92.22
Iron Man 2,5,2010,40,57,305,72,345,70.26
Iron Man 3,5,2013,44,62,331,79,375,77.01
Iron Monkey,10,2001,,,,,0,0
Isn't It Romantic,2,2019,33,60,182,69,215,67.62
It,9,2017,49,69,389,85,438,83.21
It Chapter Two,9,2019,52,58,,,52,58.00
It Comes at Night,6,2017,43,78,257,88,300,86.57
It Follows,3,2015,,,,,0,0
It's All Gone Pete Tong,4,2005,,,,,0,0
It's Complicated,12,2009,30,57,185,59,215,58.72
It's Kind of a Funny Story,10,2010,33,63,139,58,172,58.96
Italian for Beginners,1,2002,,,,,0,0
J. Edgar,11,2011,42,59,248,43,290,45.32
Jack Reacher,12,2012,36,50,185,64,221,61.72
Jack Reacher: Never Go Back,10,2016,43,47,245,38,288,39.34
Jack Ryan: Shadow Recruit,1,2014,36,57,189,54,225,54.48
Jack and Jill,11,2011,26,23,118,3,144,6.61
Jack the Giant Slayer,3,2013,37,51,208,52,245,51.85
Jackass 3D,10,2010,23,56,,,23,56.00
Jackass Number Two,9,2006,23,66,,,23,66.00
Jackass Presents: Bad Grandpa,10,2013,29,54,111,61,140,59.55
Jackass: The Movie,10,2002,14,42,94,49,108,48.09
Jackie,12,2016,53,81,364,88,417,87.11
Jarhead,11,2005,40,58,199,60,239,59.67
Jason Bourne,7,2016,50,58,327,54,377,54.53
Jason X,4,2002,33,48,107,20,140,26.60
Jay and Silent Bob Strike Back,8,2001,31,51,151,52,182,51.83
Jeepers Creepers,8,2001,24,49,115,45,139,45.69
Jeepers Creepers 2,8,2003,29,36,127,24,156,26.23
Jem and the Holograms,10,2015,16,42,78,22,94,25.40
Jennifer's Body,9,2009,29,47,215,46,244,46.12
Jersey Boys,6,2014,44,54,224,51,268,51.49
Jersey Girl,3,2004,35,43,176,43,211,43.00
Jesus Revolution,2,2023,7,46,57,54,64,53.12
Jexi,10,2019,11,39,33,21,44,25.50
Jigsaw,10,2017,18,39,89,33,107,34.01
Jimmy Neutron: Boy Genius,12,2001,21,65,76,74,97,72.05
Jobs,8,2013,35,44,132,27,167,30.56
Joe Dirt,4,2001,26,20,76,9,102,11.80
Joe Somebody,12,2001,21,42,86,21,107,25.12
John Carter,3,2012,43,51,239,52,282,51.85
John Q,2,2002,33,30,135,26,168,26.79
John Tucker Must Die,7,2006,27,41,94,28,121,30.90
John Wick,10,2014,39,68,225,86,264,83.34
John Wick: Chapter 3 - Parabellum,5,2019,50,73,,,50,73.00
John Wick: Chapter 4,3,2023,58,78,374,94,432,91.85
Johnny English,7,2003,32,51,122,33,154,36.74
Johnny English Reborn,10,2011,20,46,92,38,112,39.43
Johnny English Strikes Again,10,2018,22,39,106,37,128,37.34
Johnson Family Vacation,4,2004,24,29,89,6,113,10.88
Jojo Rabbit,10,2019,57,58,428,80,485,77.41
Joker,8,2012,,,6,0,6,0.00
Jonah Hex,6,2010,32,33,155,12,187,15.59
Jonah: A VeggieTales Movie,10,2002,20,58,56,66,76,63.89
Josie and the Pussycats,4,2001,29,47,125,53,154,51.87
Journey 2: The Mysterious Island,2,2012,27,41,133,45,160,44.33
Journey from the Fall,3,2007,,,,,0,0
Journey to Bethlehem,11,2023,,,24,75,24,75.00
Journey to the Center of the Earth,7,2008,35,57,161,60,196,59.46
Joy,12,2015,48,56,274,61,322,60.25
Joy Ride,7,2023,44,74,213,90,257,87.26
Joyful Noise,1,2012,31,44,129,32,160,34.33
Judy Moody and the Not Bummer Summer,6,2011,23,37,,,23,37.00
Julie & Julia,8,2009,34,66,,,34,66.00
"Juliet, Naked",8,2018,33,67,170,82,203,79.56
Jumanji: The Next Level,12,2019,37,58,248,72,285,70.18
Jumanji: Welcome to the Jungle,12,2017,44,58,238,76,282,73.19
Jumper,2,2008,36,35,172,15,208,18.46
Jumping the Broom,5,2011,26,56,84,57,110,56.76
Juno,12,2007,38,81,217,94,255,92.06
Jupiter Ascending,2,2015,40,40,275,28,315,29.52
Jurassic Park,9,2018,,,,,0,0
Jurassic Park III,7,2001,30,42,188,49,218,48.04
Jurassic World,6,2015,49,59,360,71,409,69.56
Jurassic World: Fallen Kingdom,6,2018,59,51,432,47,491,47.48
Just Getting Started,12,2017,10,21,23,4,33,9.15
Just Go with It,2,2011,31,33,,,31,33.00
Just Like Heaven,9,2005,31,47,151,54,182,52.81
Just Married,1,2003,27,28,106,20,133,21.62
Just My Luck,5,2006,26,29,111,14,137,16.85
Just Visiting,4,2001,25,38,79,33,104,34.20
Just Wright,5,2010,26,51,112,47,138,47.75
Justice League,11,2017,52,45,,,52,45.00
Justin Bieber's Believe,12,2013,10,39,15,53,25,47.40
Justin Bieber: Never Say Never,2,2011,22,52,108,66,130,63.63
Juwanna Mann,6,2002,25,24,84,10,109,13.21
K-19: The Widowmaker,7,2002,35,58,170,60,205,59.66
K-PAX,10,2001,31,49,141,42,172,43.26
Kangaroo Jack,1,2003,25,16,115,9,140,10.25
Keane,9,2005,,,,,0,0
Keanu,4,2016,35,63,182,78,217,75.58
Keeping Up with the Joneses,10,2016,31,34,,,31,34.00
Keeping the Faith,4,2000,31,60,117,69,148,67.11
Kevin Hart: Laugh at My Pain,9,2011,,,7,71,7,71.00
Kevin Hart: Let Me Explain,7,2013,18,53,44,61,62,58.68
Kevin Hart: What Now?,10,2016,22,60,58,76,80,71.60
Kick-Ass,4,2010,38,66,268,77,306,75.63
Kick-Ass 2,8,2013,35,41,211,32,246,33.28
Kicking & Screaming,5,2005,33,45,142,41,175,41.75
Kidnap,8,2017,26,44,94,35,120,36.95
Kill Bill: Vol. 1,10,2003,43,69,238,85,281,82.55
Kill Bill: Vol. 2,4,2004,41,83,246,84,287,83.86
Kill the Messenger,10,2014,36,60,133,77,169,73.38
Killer Elite,9,2011,29,44,127,28,156,30.97
Killers,6,2010,22,21,110,10,132,11.83
Killers of the Flower Moon,10,2023,63,89,465,93,528,92.52
Killing Them Softly,11,2012,42,64,233,74,275,72.47
Kin,8,2018,20,35,96,35,116,35.00
King Arthur,7,2004,41,46,189,31,230,33.67
King Arthur: Legend of the Sword,5,2017,45,41,277,31,322,32.40
King Kong,12,2005,39,81,268,84,307,83.62
Kingdom Come,4,2001,26,48,66,27,92,32.93
Kingdom of Heaven,5,2005,40,63,189,40,229,44.02
Kingsman: The Golden Circle,9,2017,44,44,308,51,352,50.12
Kingsman: The Secret Service,2,2015,,,,,0,0
Kinsey,11,2004,40,79,197,90,237,88.14
Kiss Kiss Bang Bang,10,2005,37,73,,,37,73.00
Kiss of the Dragon,7,2001,26,58,109,52,135,53.16
Kissing Jessica Stein,3,2002,23,72,,,23,72.00
Kit Kittredge: An American Girl,6,2008,27,63,106,80,133,76.55
Knight and Day,6,2010,38,46,234,52,272,51.16
Knights of the Zodiac,5,2023,8,35,24,21,32,24.50
Knives Out,11,2019,52,82,472,97,524,95.51
Knock Knock,10,2015,22,53,76,37,98,40.59
Knock at the Cabin,2,2023,60,63,334,67,394,66.39
Knockaround Guys,10,2002,,,,,0,0
Knocked Up,6,2007,38,85,253,89,291,88.48
Knowing,3,2009,27,41,185,35,212,35.76
Kong: Skull Island,3,2017,50,62,395,75,445,73.54
Krampus,12,2015,21,49,131,66,152,63.65
Kubo and the Two Strings,8,2016,38,84,228,97,266,95.14
Kung Fu Hustle,4,2005,,,,,0,0
Kung Fu Panda,6,2008,36,74,193,87,229,84.96
Kung Fu Panda 2,5,2011,34,67,188,81,222,78.86
Kung Fu Panda 3,1,2016,34,66,180,86,214,82.82
Kung Fu Panda 4,3,2024,33,54,151,72,184,68.77
Kung Pow: Enter the Fist,1,2002,14,14,54,13,68,13.21
LOL,5,2012,27,49,7,14,34,41.79
La La Land,12,2016,54,94,471,91,525,91.31
La Vie En Rose,6,2007,29,66,,,29,66.00
Labor Day,1,2014,44,75,,,44,75.00
Ladder 49,10,2004,32,47,163,41,195,41.98
Lady Bird,11,2017,52,93,400,99,452,98.31
Lady Macbeth,7,2017,52,93,,,52,93.00
Lady in the Water,7,2006,36,36,212,25,248,26.60
Lakeview Terrace,9,2008,29,47,166,45,195,45.30
Land of the Dead,6,2005,30,71,180,74,210,73.57
Land of the Lost,6,2009,32,32,193,26,225,26.85
Lara Croft: Tomb Raider,6,2001,31,33,163,20,194,22.08
Lara Croft: Tomb Raider - The Cradle of Life,7,2003,34,43,,,34,43.00
Larry Crowne,7,2011,41,41,201,37,242,37.68
Larry the Cable Guy: Health Inspector,3,2006,14,21,39,5,53,9.23
Lars and the Real Girl,10,2007,32,70,140,81,172,78.95
Last Christmas,11,2019,40,50,212,46,252,46.63
Last Holiday,1,2006,27,52,123,55,150,54.46
Last Vegas,11,2013,34,48,145,46,179,46.38
Late Night,6,2019,46,70,301,80,347,78.67
Law Abiding Citizen,10,2009,26,34,162,26,188,27.11
Lawless,8,2012,38,58,221,67,259,65.68
Laws of Attraction,4,2004,36,38,147,18,183,21.93
Layer Cake,5,2005,,,,,0,0
Leap Year,1,2010,30,33,27,93,57,61.42
Leatherheads,4,2008,34,56,170,52,204,52.67
Leaves of Grass,9,2010,13,66,,,13,66.00
Left Behind,10,2014,25,12,70,0,95,3.16
Legally Blonde,7,2001,32,59,152,71,184,68.91
Legally Blonde 2: Red White & Blonde,7,2003,39,47,,,39,47.00
"Legally Blonde 2: Red, White & Blonde",8,2003,39,47,159,36,198,38.17
Legend,9,2015,31,55,173,61,204,60.09
Legend of the Guardians: The Owls of Ga'Hoole,9,2010,21,53,134,52,155,52.14
Legends of Oz: Dorothy's Return,5,2014,,,61,16,61,16.00
Legion,1,2010,14,32,107,20,121,21.39
Les Misérables,12,2012,41,63,257,70,298,69.04
Les Mis�rables,12,2012,41,63,,,41,63.00
Let Me In,10,2010,35,79,237,88,272,86.84
Let There Be Light,10,2017,16,5,11,27,27,13.96
Let's Be Cops,8,2014,23,30,82,18,105,20.63
Letters from Iwo Jima,12,2006,37,89,,,37,89.00
Letters to God,4,2010,7,31,24,25,31,26.35
Letters to Juliet,5,2010,34,50,162,42,196,43.39
License to Wed,7,2007,30,25,124,7,154,10.51
Life,3,2017,44,54,,,44,54.00
Life During Wartime,7,2010,,,,,0,0
Life Itself,7,2014,35,87,204,98,239,96.39
Life as We Know It,10,2010,31,39,153,30,184,31.52
Life as a House,10,2001,32,45,106,47,138,46.54
Life of Pi,11,2012,44,79,255,86,299,84.97
Life of the Party,5,2018,32,46,154,38,186,39.38
Life or Something Like It,4,2002,32,31,121,27,153,27.84
Lights Out,7,2016,34,58,182,75,216,72.32
Like Mike,7,2002,27,47,97,57,124,54.82
Lilo & Stitch,6,2002,30,74,151,87,181,84.85
Limitless,3,2011,37,59,205,68,242,66.62
Lincoln,11,2012,45,87,290,90,335,89.60
Lion,11,2016,45,69,270,84,315,81.86
Lions for Lambs,11,2007,36,47,183,27,219,30.29
Little,4,2019,37,49,161,47,198,47.37
Little Black Book,8,2004,33,36,111,22,144,25.21
Little Boy,4,2015,24,30,54,26,78,27.23
Little Children,10,2006,34,75,162,80,196,79.13
Little Fockers,12,2010,32,27,149,9,181,12.18
Little Man,7,2006,22,26,91,12,113,14.73
Little Miss Sunshine,7,2006,36,80,219,91,255,89.45
Little Nicky,11,2000,29,38,114,22,143,25.24
Little Women,9,2018,11,40,27,30,38,32.89
Live Free or Die Hard,6,2007,34,69,210,82,244,80.19
Live by Night,12,2016,43,49,239,35,282,37.13
Local Color,10,2007,,,,,0,0
Lockout,4,2012,32,48,143,38,175,39.83
Logan,3,2017,51,77,429,93,480,91.30
Logan Lucky,8,2017,51,78,289,92,340,89.90
London Has Fallen,3,2016,35,28,197,28,232,28.00
Lone Survivor,12,2013,44,60,226,75,270,72.56
Long Shot,5,2019,45,67,304,82,349,80.07
Looney Tunes: Back in Action,11,2003,32,64,136,57,168,58.33
Looper,9,2012,44,84,275,93,319,91.76
Lord of War,9,2005,31,62,150,62,181,62.00
Lords of Dogtown,6,2005,35,56,146,55,181,55.19
Lost Souls,10,2000,29,16,93,8,122,9.90
Lost in Translation,9,2003,44,91,236,95,280,94.37
Lottery Ticket,8,2010,24,50,82,34,106,37.62
Love & Basketball,4,2000,28,72,,,28,72.00
Love & Friendship,5,2016,36,87,,,36,87.00
Love & Other Drugs,11,2010,38,55,,,38,55.00
Love Actually,11,2003,41,55,228,64,269,62.63
Love Happens,9,2009,26,33,111,16,137,19.23
Love Ranch,6,2010,23,37,50,12,73,19.88
Love Simon,3,2018,38,72,,,38,72.00
Love in the Time of Cholera,11,2007,29,43,111,27,140,30.31
Love the Coopers,11,2015,26,31,120,18,146,20.32
Love's Abiding Joy,10,2006,,,8,13,8,13.00
"Love, Simon",3,2018,38,72,239,92,277,89.26
Loving,11,2016,46,79,296,88,342,86.79
Loving Vincent,9,2017,21,62,162,85,183,82.36
Lowriders,5,2017,,,,,0,0
Lucky Number Slevin,4,2006,36,53,154,52,190,52.19
Lucky Numbers,10,2000,30,31,97,23,127,24.89
Lucky You,5,2007,29,49,141,28,170,31.58
Lucy,7,2014,46,62,240,67,286,66.20
Lust Caution,9,2007,35,61,,,35,61.00
Luther,9,2003,23,47,62,45,85,45.54
Ma,5,2019,39,53,214,55,253,54.69
MacGruber,5,2010,24,43,153,47,177,46.46
Machete,9,2010,29,60,195,70,224,68.71
Machete Kills,10,2013,33,41,125,29,158,31.51
Machine Gun Preacher,9,2011,32,43,115,29,147,32.05
Mad Hot Ballroom,5,2005,32,71,121,84,153,81.28
Mad Max: Fury Road,1,2016,,,,,0,0
Mad Money,1,2008,31,41,106,22,137,26.30
Madagascar,5,2005,36,57,193,55,229,55.31
Madagascar 3: Europe's Most Wanted,6,2012,26,60,133,78,159,75.06
Madagascar: Escape 2 Africa,11,2008,25,61,157,64,182,63.59
Madame Web,2,2024,51,26,246,11,297,13.58
Made,7,2001,24,62,106,71,130,69.34
Made in Dagenham,11,2010,31,65,131,80,162,77.13
Made of Honor,5,2008,25,37,125,16,150,19.50
Madea's Family Reunion,2,2006,18,45,58,26,76,30.50
Madea's Witness Protection,6,2012,15,42,,,15,42.00
Magic Mike,6,2012,38,72,217,78,255,77.11
Magic Mike XXL,7,2015,40,61,240,65,280,64.43
Maid in Manhattan,12,2002,32,45,151,38,183,39.22
Maleficent,5,2014,44,56,277,54,321,54.27
Maleficent: Mistress of Evil,10,2019,40,43,259,39,299,39.54
Malevolence,9,2004,,,17,35,17,35.00
Malibu's Most Wanted,4,2003,25,43,93,31,118,33.54
Mama,1,2013,35,57,168,64,203,62.79
Mambo Italiano,9,2003,26,41,75,32,101,34.32
Mamma Mia!,7,2008,37,51,186,55,223,54.34
Mamma Mia! Here We Go Again,7,2018,46,60,276,79,322,76.29
Man of Steel,6,2013,47,55,343,56,390,55.88
Man of the House,2,2005,20,35,67,9,87,14.98
Man of the Year,10,2006,,,145,21,145,21.00
Man on Fire,4,2004,36,47,168,39,204,40.41
Man on Wire,7,2008,31,89,160,100,191,98.21
Man on a Ledge,1,2012,32,40,163,31,195,32.48
Manchester by the Sea,11,2016,53,96,358,96,411,96.00
Mandela: Long Walk to Freedom,11,2013,32,60,146,62,178,61.64
Mao's Last Dancer,8,2010,,,,,0,0
Marci X,8,2003,17,20,61,8,78,10.62
Margaret,9,2011,28,61,102,75,130,71.98
Margin Call,10,2011,38,76,174,87,212,85.03
Maria Full of Grace,7,2004,39,87,145,97,184,94.88
Marie Antoinette,10,2006,37,64,218,57,255,58.02
Marley & Me,12,2008,30,53,142,63,172,61.26
Marmaduke,6,2010,22,30,104,9,126,12.67
Married Life,3,2008,36,85,,,36,85.00
Mars Needs Moms,3,2011,22,49,116,37,138,38.91
Marshall,10,2017,34,66,147,80,181,77.37
Martha Marcy May Marlene,10,2011,39,75,210,90,249,87.65
Martian Child,11,2007,26,48,110,35,136,37.49
Martin Lawrence Live: Runteldat,8,2002,23,40,57,39,80,39.29
Mary Poppins Returns,12,2018,54,66,379,79,433,77.38
Mary Queen of Scots,12,2018,47,60,295,62,342,61.73
Master and Commander: The Far Side of the World,11,2003,42,81,224,85,266,84.37
Masterminds,9,2016,,,100,34,100,34.00
Match Point,12,2005,40,72,216,77,256,76.22
Max,12,2002,30,56,110,69,140,66.21
Max Keeble's Big Move,10,2001,19,40,56,29,75,31.79
Max Payne,10,2008,25,31,138,16,163,18.30
Maze Runner: The Death Cure,1,2018,38,50,172,43,210,44.27
Maze Runner: The Scorch Trials,9,2015,29,43,155,48,184,47.21
"McFarland, USA",2,2015,32,60,131,80,163,76.07
Me Before You,6,2016,36,51,179,54,215,53.50
Me and Earl and the Dying Girl,6,2015,40,74,212,82,252,80.73
Me and Orson Welles,11,2009,,,,,0,0
Me and You and Everyone We Know,6,2005,38,76,119,82,157,80.55
"Me, Myself & Irene",6,2000,35,49,101,48,136,48.26
Mean Girls,4,2004,39,66,219,84,258,81.28
Mechanic: Resurrection,8,2016,15,38,59,31,74,32.42
Meek's Cutoff,4,2011,,,,,0,0
Meet Dave,7,2008,26,43,102,20,128,24.67
Meet the Blacks,4,2016,4,26,12,17,16,19.25
Meet the Browns,3,2008,14,45,58,33,72,35.33
Meet the Fockers,12,2004,34,41,166,39,200,39.34
Meet the Mormons,10,2014,6,29,11,18,17,21.88
Meet the Parents,10,2000,33,73,148,85,181,82.81
Meet the Spartans,1,2008,11,9,49,2,60,3.28
Meg 2: The Trench,8,2023,38,40,183,27,221,29.24
Megamind,11,2010,33,63,182,73,215,71.47
